"","State","asian_prop","black_prop","hispanic_prop","white_prop","ppbill","pcttip","flair","intro","selling","repeat.","customer_name","smile","thanks","Extraverted_enthusiastic","Critical_quarrelsome","Dependable_selfdisciplined","Anxious_easily_upset","Reserved_quiet","Sympathetic_warm","Disorganized_careless","Conventional_uncreative","birth_yr","sex","race"
"2","or",1,5,45,65,20,12,"Never","Never","Always","Never","Often","Often","Never","7","6","7","2","1","2","1","1",1969,"Female","White"
"4","tx",1,20,30,59,100,20,"Sometimes","Always","Always","Often","Often","Often","Always","7","1","7","2","2","6","2","1",1973,"Female","White"
"6","or",15,10,5,70,35,22,"Never","Never","Always","Sometimes","Sometimes","Often","Never","6","2","5","2","5","3","5","1",1961,"Male","White"
"7","or",4,5,1,90,15,20,"Never","Always","Often","Sometimes","Often","Often","Sometimes","7","3","6","5","1","7","1","2",1975,"Female","White"
"8","la",5,5,5,85,75,21,"Sometimes","Sometimes","Always","Sometimes","Sometimes","Often","Never","6","1","6","1","5","5","1","6",1954,"Male","White"
"9","ky",5,10,5,80,15,12,"Never","Always","Often","Often","Often","Often","Never","4","5","6","2","4","5","1","3",1960,"Male","White"
"10","oh",2,10,1,87,25,20,"Never","Sometimes","Always","Sometimes","Never","Sometimes","Never","5","2","7","1","3","5","1","3",1970,"Female","White"
"12","sp - brazil",20,20,15,45,29,10,"Sometimes","Always","Always","Always","Often","Often","Never","6","5","3","4","2","5","4","3",1981,"Female","White"
"13","tn",5,10,5,80,50,18,"Never","Sometimes","Often","Never","Often","Sometimes","Never","7","5","5","5","1","3","5","2",1971,"Male","White"
"15","la",3,40,2,55,21,22,"Sometimes","Always","Always","Always","Always","Often","Never","7","2","7","3","1","6","1","2",1955,"Female","White"
"16","ak",5,2,5,88,65,22,"Often","Often","Always","Sometimes","Often","Often","Sometimes","5","2","7","2","4","4","1","3",1975,"Female","White"
"17","ny",10,10,5,75,50,25,"Never","Always","Always","Sometimes","Sometimes","Often","Sometimes","6","2","6","2","5","6","2","2",1986,"Female","White"
"18","nj",1,1,3,95,26,18,"Never","Always","Often","Sometimes","Never","Often","Never","6","2","3","5","5","6","5","2",1985,"Female","White"
"20","ny",20,5,5,70,35,18,"Sometimes","Always","Often","Often","Sometimes","Sometimes","Never","3","5","7","3","6","5","1","6",1985,"Male","White"
"21","ny",20,5,5,70,40,10,"Never","Always","Often","Sometimes","Sometimes","Never","Never","7","3","6","1","2","4","1","3",1985,"Female","White"
"22","ny",13,1,1,85,40,18,"Never","Always","Always","Often","Often","Always","Never","7","5","7","3","1","5","1","2",1985,"Female","White"
"24","ny",15,5,5,75,30,17,"Never","Often","Often","Often","Always","Always","Always","7","1","7","1","1","7","2","2",1984,"Female","White"
"26","ny",3,10,1,86,50,21,"Always","Always","Always","Often","Always","Always","Always","7","2","7","2","1","7","1","1",1984,"Male","White"
"28","ak",3,1,1,95,15,10,"Never","Sometimes","Never","Often","Never","Sometimes","Often","7","4","5","5","2","7","3","1",1987,"Female","Hispanic"
"29","oh",0,1,0,99,8,12,"Never","Never","Sometimes","Never","Never","Sometimes","Never","6","5","6","2","5","5","2","2",1984,"Female","Asian"
"30","oh",1,4,4,91,15,18,"Sometimes","Always","Often","Often","Never","Always","Sometimes","4","1","6","5","6","6","3","4",1985,"Female","Asian"
"31","oh",5,20,5,70,15,18,"Never","Always","Always","Sometimes","Often","Often","Never","7","7","7","3","1","6","1","1",1985,"Male","White"
"32","ny",15,10,5,70,20,23,"Often","Sometimes","Always","Often","Often","Often","Never","7","4","7","5","1","6","1","1",1985,"Female","White"
"33","nj",1,2,2,97,15,18,"Sometimes","Sometimes","Sometimes","Sometimes","Never","Often","Often","6","1","6","3","3","6","4","5",1987,"Female","White"
